,ID,CooX,CooY,CooZ,Date,Value
60,Socaire snow,617420.042174,7387869.3882,3615.54878,2013-05-31,-9.01906
63,TUI07,644378.72944,7359684.93726,4616.0,2013-05-31,-12.52
66,TUI08,638395.035859,7351023.58138,3954.0,2013-05-31,-11.14
75,Toconao,602345.0,7434865.0,2516.0,2013-05-31,-7.904026
67,TUI08,638395.035859,7351023.58138,3954.0,2013-09-30,-15.65
49,Precip from Tilocalar,584483.156078,7368065.59562,2438.0,2014-01-31,-5.237007
55,Rain at Peine house,595101.066896,7380687.43122,2375.0,2014-01-31,-2.558848
56,Rain north of Tilomonte Creek,590643.746215,7370959.17242,2345.0,2014-01-31,-6.523142
58,Rain on TPB5 road,576887.215284,7384275.23849,2300.0,2014-01-31,-6.280604
59,Rain on salar from S line road,572133.052927,7382875.28898,2300.0,2014-01-31,-0.21518
71,Tilocalar rain,584647.209962,7368244.00726,2465.0,2014-01-31,-4.810566
76,Toconao,602345.0,7434865.0,2516.0,2014-01-31,-6.960976
64,TUI07,644378.72944,7359684.93726,4616.0,2014-02-28,-10.86
77,Toconao,602345.0,7434865.0,2516.0,2016-03-31,-7.904149
16,LLUVIA CAMAR,606675.0,7411240.0,2700.0,2017-01-31,-4.37
17,LLUVIA TOCONAO,602427.0,7434737.0,2500.0,2017-01-31,-5.19
42,P-2,603583.0,7401666.0,2576.0,2017-03-31,-8.0
46,P-4,618669.0,7387433.0,3667.0,2017-04-30,-13.3
50,R5_01032019_(P5),618136.0,7357929.0,4022.0,2017-05-31,-12.7
3,Chaxa,583503.0,7424258.0,2307.0,2017-06-30,-11.365764
11,KCl,561356.0,7396255.0,2308.0,2017-06-30,-13.396131
18,LZA3-1,590919.0,7403566.0,2305.0,2017-06-30,-13.275528
78,Toconao,602345.0,7434865.0,2516.0,2017-06-30,-11.472341
43,P-2_3-A,606969.0,7395952.0,2854.0,2017-07-31,-12.6
44,P-3,613271.0,7390766.0,3277.0,2017-07-31,-13.4
45,P-3_4-A,615056.0,7388512.0,3470.0,2017-07-31,-14.4
47,P-4,618669.0,7387433.0,3667.0,2017-07-31,-14.1
48,P-4_5-A,617835.0,7372682.0,3858.0,2017-07-31,-15.2
51,R5_01032019_(P5),618136.0,7357929.0,4022.0,2017-07-31,-14.6
4,Chaxa,583503.0,7424258.0,2307.0,2018-03-31,-2.876141
79,Toconao,602345.0,7434865.0,2516.0,2018-03-31,-3.264123
5,Chaxa,583503.0,7424258.0,2307.0,2018-08-31,-3.055886
12,KCl,561356.0,7396255.0,2308.0,2018-08-31,-6.586507
19,LZA3-1,590919.0,7403566.0,2305.0,2018-08-31,-2.828467
25,LZA9-1,584309.0,7380451.0,2306.0,2018-08-31,-7.70673
80,Toconao,602345.0,7434865.0,2516.0,2018-08-31,-3.029864
13,KCl,561356.0,7396255.0,2308.0,2019-02-28,-8.34686
20,LZA3-1,590919.0,7403566.0,2305.0,2019-02-28,-10.413971
26,LZA9-1,584309.0,7380451.0,2306.0,2019-02-28,-10.848714
81,Toconao,602345.0,7434865.0,2516.0,2019-02-28,-6.590398
6,Chaxa,583503.0,7424258.0,2307.0,2019-03-31,-10.072507
52,R5_01032019_(P5),618136.0,7357929.0,4022.0,2019-03-31,-13.3
21,LZA3-1,590919.0,7403566.0,2305.0,2019-04-30,-5.178604
27,LZA9-1,584309.0,7380451.0,2306.0,2019-04-30,-6.41443
14,KCl,561356.0,7396255.0,2308.0,2019-09-30,2.45613
22,LZA3-1,590919.0,7403566.0,2305.0,2019-09-30,-0.352334
28,LZA9-1,584309.0,7380451.0,2306.0,2019-10-31,-0.830306
0,ALMA,629027.0,7451565.0,5064.0,2019-12-31,-3.569606
9,Jama,702314.0,7428940.0,4096.0,2019-12-31,-2.256644
68,Tatio,601280.0,7527955.0,4310.0,2019-12-31,-5.137206
23,LZA3-1,590919.0,7403566.0,2305.0,2020-01-31,-0.933977
7,Chaxa,583503.0,7424258.0,2307.0,2020-02-29,-3.710449
15,KCl,561356.0,7396255.0,2308.0,2020-08-31,-8.205228
24,LZA3-1,590919.0,7403566.0,2305.0,2020-10-31,-6.73461
1,ALMA,629027.0,7451565.0,5064.0,2020-11-30,-8.201566
10,Jama,702314.0,7428940.0,4096.0,2020-11-30,-10.733521
69,Tatio,601280.0,7527955.0,4310.0,2020-11-30,-8.488226
2,ALMA,629027.0,7451565.0,5064.0,2021-01-31,-6.475485
8,Chaxa,583503.0,7424258.0,2307.0,2021-01-31,-4.800548
70,Tatio,601280.0,7527955.0,4310.0,2021-01-31,-6.765609
