,ID,Value,CooX,CooY,CooZ,month
3,Chiu-Chiu,1.125,537415.0,7529707.0,2524.0,4
4,San_Pedro,0.16666666666666666,581987.0,7466178.0,2450.0,4
5,Socaire,2.305,613092.0,7390963.0,3251.0,4
6,Conchi_E.,0.3372093023255814,605954.0,7411015.0,3010.0,4
7,Chaxa,1.4736842105263157,583500.0,7424261.0,2307.0,4
8,Cordillera_Sal,0.0,544617.332,7385424.187,2363.116,4
9,El_Tatio,0.9538461538461538,601280.0,7527955.0,4370.0,4
10,LZA10-1,0.4,577260.0,7374203.0,2309.0,4
11,LZA12-1,2.3,592024.0,7417669.0,2316.0,4
12,LZA12-2,0.7999999999999999,593270.0,7394869.0,2317.0,4
13,LZA12-3,0.625,589176.0,7451502.0,2359.0,4
14,LZA3-1,0.775,591181.0,7403651.0,2306.0,4
15,LZA3-2,2.0,590360.0,7408580.0,2306.0,4
16,LZA3-3,1.1749999999999998,590643.0,7416257.0,2318.0,4
17,LZA7-1,0.775,591699.0,7394060.0,2312.0,4
18,LZA7-2,0.25,593914.0,7388616.0,2311.0,4
19,LZA9-1,0.55,584166.0,7379517.0,2310.0,4
20,Paso_Jama,0.0,632989.0,7464136.0,4825.0,4
21,Paso_Sico,0.0,658720.0,7364239.0,4323.0,4
22,Peine,0.9545454545454546,595137.0,7380682.0,2460.0,4
23,Planta_Rockwood,0.0,568771.0,7385238.0,2300.0,4
24,Rio_Grande,0.7780487804878048,585548.0,7494766.0,3217.0,4
25,SOP,0.028571428571428574,562717.0,7403324.0,2300.0,4
26,Talabre,2.0,613530.0,7421080.0,3255.0,4
27,Toconao_DGAC,0.54,599644.77,7433140.71,2495.0,4
28,Toconao_P.,0.1,601777.0,7435573.0,2492.0,4
29,Toconao_Q.1,12.5,621564.0,7431858.0,3990.0,4
30,Toconao_Q.4,0.4,612592.0,7438698.0,3437.0,4
31,KCL,0.27,561354.0,7396247.0,2307.0,4
0,Monturaqui,0.0,557103.126,7307450.255,3430.0,5
1,Caspana,4.925,581126.0,7529664.0,3260.0,5
2,Toconao_Exp,1.1375,602387.874,7434809.217,2500.0,5
3,Chiu-Chiu,1.7428571428571427,537415.0,7529707.0,2524.0,5
4,Conchi_E.,0.34523809523809523,605954.0,7411015.0,3010.0,5
5,San_Pedro,1.1055555555555554,581987.0,7466178.0,2450.0,5
6,Socaire,4.8829268292682935,613092.0,7390963.0,3251.0,5
7,Toconao_DGAC,2.06,599644.77,7433140.71,2495.0,5
8,Chaxa,1.2,583500.0,7424261.0,2307.0,5
9,Cordillera_Sal,0.0,544617.332,7385424.187,2363.116,5
10,El_Tatio,3.1975000000000002,601280.0,7527955.0,4370.0,5
11,KCL,1.1473684210526318,561354.0,7396247.0,2307.0,5
12,LZA10-1,0.75,577260.0,7374203.0,2309.0,5
13,LZA12-1,0.95,592024.0,7417669.0,2316.0,5
14,LZA12-2,1.05,593270.0,7394869.0,2317.0,5
15,LZA12-3,0.925,589176.0,7451502.0,2359.0,5
16,LZA3-1,0.95,591181.0,7403651.0,2306.0,5
17,LZA3-2,0.85,590360.0,7408580.0,2306.0,5
18,LZA3-3,0.8,590643.0,7416257.0,2318.0,5
19,LZA7-1,0.875,591699.0,7394060.0,2312.0,5
20,LZA7-2,0.925,593914.0,7388616.0,2311.0,5
21,LZA9-1,0.6,584166.0,7379517.0,2310.0,5
22,Paso_Jama,0.2,632989.0,7464136.0,4825.0,5
23,Paso_Sico,0.0,658720.0,7364239.0,4323.0,5
24,Peine,2.727272727272727,595137.0,7380682.0,2460.0,5
25,Planta_Rockwood,0.7333333333333334,568771.0,7385238.0,2300.0,5
26,Rio_Grande,1.1547619047619047,585548.0,7494766.0,3217.0,5
27,SOP,0.08571428571428572,562717.0,7403324.0,2300.0,5
28,Talabre,3.4565217391304346,613530.0,7421080.0,3255.0,5
29,Toconao_P.,1.8,601777.0,7435573.0,2492.0,5
30,Toconao_Q.1,21.8,621564.0,7431858.0,3990.0,5
31,Toconao_Q.4,2.4,612592.0,7438698.0,3437.0,5
0,Monturaqui,0.0,557103.126,7307450.255,3430.0,6
1,Caspana,7.709999999999999,581126.0,7529664.0,3260.0,6
2,Toconao_Exp,2.01875,602387.874,7434809.217,2500.0,6
3,Chiu-Chiu,2.67,537415.0,7529707.0,2524.0,6
4,Conchi_E.,0.4488372093023256,605954.0,7411015.0,3010.0,6
5,San_Pedro,1.3,581987.0,7466178.0,2450.0,6
6,Socaire,4.976190476190476,613092.0,7390963.0,3251.0,6
7,LZA3-3,2.6666666666666665,590643.0,7416257.0,2318.0,6
8,Chaxa,0.5578947368421052,583500.0,7424261.0,2307.0,6
9,Cordillera_Sal,0.0,544617.332,7385424.187,2363.116,6
10,El_Tatio,3.007317073170732,601280.0,7527955.0,4370.0,6
11,KCL,1.7157894736842105,561354.0,7396247.0,2307.0,6
12,LZA10-1,4.825,577260.0,7374203.0,2309.0,6
13,LZA12-1,2.1,592024.0,7417669.0,2316.0,6
14,LZA12-2,3.55,593270.0,7394869.0,2317.0,6
15,LZA12-3,1.875,589176.0,7451502.0,2359.0,6
16,LZA3-1,2.475,591181.0,7403651.0,2306.0,6
17,LZA3-2,2.225,590360.0,7408580.0,2306.0,6
18,LZA7-1,3.35,591699.0,7394060.0,2312.0,6
19,LZA7-2,3.8,593914.0,7388616.0,2311.0,6
20,LZA9-1,4.125,584166.0,7379517.0,2310.0,6
21,Paso_Jama,0.6,632989.0,7464136.0,4825.0,6
22,Paso_Sico,0.0,658720.0,7364239.0,4323.0,6
23,Peine,3.040909090909091,595137.0,7380682.0,2460.0,6
24,Planta_Rockwood,4.333333333333333,568771.0,7385238.0,2300.0,6
25,Rio_Grande,3.4309523809523816,585548.0,7494766.0,3217.0,6
26,SOP,0.38749999999999996,562717.0,7403324.0,2300.0,6
27,Talabre,2.0,613530.0,7421080.0,3255.0,6
28,Toconao_DGAC,1.633333333333333,599644.77,7433140.71,2495.0,6
29,Toconao_P.,4.4,601777.0,7435573.0,2492.0,6
30,Toconao_Q.1,26.349999999999998,621564.0,7431858.0,3990.0,6
31,Toconao_Q.4,4.2,612592.0,7438698.0,3437.0,6
0,Monturaqui,0.0,557103.126,7307450.255,3430.0,7
1,Caspana,4.525,581126.0,7529664.0,3260.0,7
2,Toconao_Exp,0.08709677419354839,602387.874,7434809.217,2500.0,7
3,Chiu-Chiu,1.4666666666666668,537415.0,7529707.0,2524.0,7
4,Socaire,1.770731707317073,613092.0,7390963.0,3251.0,7
5,Conchi_E.,0.47674418604651164,605954.0,7411015.0,3010.0,7
6,LZA3-3,0.19999999999999998,590643.0,7416257.0,2318.0,7
7,San_Pedro,0.11666666666666667,581987.0,7466178.0,2450.0,7
